,date,R_eff median,R_eff lower bound 95% CI,R_eff upper bound 95% CI
35,2020-04-03,0.9323254247939985,0.6033507269236118,1.3438109293997182
36,2020-04-04,0.8906934921236664,0.603140445954101,1.2761905712781996
37,2020-04-05,0.8545682687395639,0.610023479895139,1.229550386768692
38,2020-04-06,0.8271367340259872,0.6059834464539527,1.1631542810037092
39,2020-04-07,0.8022979942462543,0.6106236494125731,1.0826053272053406
40,2020-04-08,0.7781855080379454,0.596905172968076,1.0128304292546642
41,2020-04-09,0.7580879075555103,0.5919052854871425,0.9619406543767106
42,2020-04-10,0.7392532621776404,0.5651527973784859,0.9113220544298797
43,2020-04-11,0.7256640344020422,0.5361512123847803,0.8959864084311298
44,2020-04-12,0.7157282226705892,0.5066432447522723,0.9023377600825758
45,2020-04-13,0.7120500338514828,0.5022835301972616,0.900197931720569
46,2020-04-14,0.7090945239871179,0.5075483239843841,0.8954777873384027
47,2020-04-15,0.712304982673891,0.5219290690825751,0.8839634619334916
48,2020-04-16,0.7143379075266842,0.5361819329321363,0.8773729203742853
49,2020-04-17,0.719709618352222,0.5609478118553154,0.9035149321054768
50,2020-04-18,0.7258082646256308,0.578416459408491,0.9089146292290311
51,2020-04-19,0.7338969955777304,0.5887105476618456,0.9609211551953997
52,2020-04-20,0.7397904195870009,0.5867632709191315,1.0234345025006135
53,2020-04-21,0.7438091339322868,0.5681899227962953,1.0805558996784943
54,2020-04-22,0.7490891725684015,0.5558091965137395,1.1133839825266634
55,2020-04-23,0.7506528131854489,0.5465179224838678,1.1160792553458556
56,2020-04-24,0.7469633429879698,0.5503643767258206,1.0874343499364787
57,2020-04-25,0.7390994105176418,0.5506826110480157,1.0442623680114251
58,2020-04-26,0.7306567908434338,0.5571557665718614,1.010677335435845
59,2020-04-27,0.7244595014985276,0.5574830444491451,0.9513038648168491
60,2020-04-28,0.718209776939188,0.5381256755215186,0.9061910278608686
61,2020-04-29,0.7135154016617924,0.5168347940927305,0.8982324855420947
62,2020-04-30,0.7095906062676931,0.48835537069290613,0.9246003609946515
63,2020-05-01,0.709298250403942,0.4743016304730624,0.9804591643601415
64,2020-05-02,0.7123805722235841,0.4701797923626926,1.0054414197368704
65,2020-05-03,0.7171845936725982,0.47717899061603736,1.0460785881399626
66,2020-05-04,0.7251631881983098,0.4855159834911455,1.079081245445744
67,2020-05-05,0.7367462233915509,0.5075501549755659,1.0788548030596263
68,2020-05-06,0.746745303373342,0.5375514123603085,1.073727483744477
69,2020-05-07,0.7630077107829284,0.5742308204683224,1.0737512905534599
70,2020-05-08,0.7790197665115586,0.6054707112158096,1.1058416998450349
71,2020-05-09,0.7983174143664734,0.6250574205945535,1.153886919269668
72,2020-05-10,0.8160897022167195,0.6212678462874686,1.2529286560673298
73,2020-05-11,0.8349095050303745,0.609028186252858,1.280668843585778
74,2020-05-12,0.8469316713619381,0.5930933902802151,1.289557231196771
75,2020-05-13,0.8505941746422352,0.5892070183492594,1.2792621906169261
76,2020-05-14,0.842152983359485,0.5845508999689838,1.2826591896372517
77,2020-05-15,0.8352078521356299,0.5826998297465711,1.2464996420446388
78,2020-05-16,0.8245232457302079,0.5878469138202039,1.1745383521974857
79,2020-05-17,0.8173686097687903,0.5723649495715413,1.107778229585851
80,2020-05-18,0.8048878345504648,0.579934450775882,1.0563507017509992
81,2020-05-19,0.7976836666475207,0.5558493173642024,1.0514524492266
82,2020-05-20,0.7876127378386564,0.5317209120404148,1.1075962376752346
83,2020-05-21,0.7827520381233386,0.5186802704112905,1.1522037008865922
84,2020-05-22,0.774491541776797,0.49860790022763946,1.1663535806268628
85,2020-05-23,0.7726135625795783,0.49457969778607663,1.1533543764985545
86,2020-05-24,0.7742234250282023,0.5076262701819167,1.1280042134684976
87,2020-05-25,0.776291870933528,0.5096531865916574,1.101389193104395
88,2020-05-26,0.7828427556429713,0.5308323018582299,1.0888592184469177
89,2020-05-27,0.7868671993700103,0.5493522492131904,1.0673804976075114
90,2020-05-28,0.7950261724395871,0.564140442383077,1.078960514338685
91,2020-05-29,0.8050146822606168,0.5714456331130732,1.119260622152533
92,2020-05-30,0.8108544947675005,0.5671698799269935,1.1872269257003645
93,2020-05-31,0.8177078135468838,0.5487504330996755,1.2122886091366667
94,2020-06-01,0.8256936516385653,0.5454070523550236,1.274257276204072
95,2020-06-02,0.8338972915184988,0.5500366494900183,1.2848717480545218
96,2020-06-03,0.8516662301460032,0.5554171434806682,1.3184806690657844
97,2020-06-04,0.868545669648791,0.552829715296836,1.320891436558111
98,2020-06-05,0.8849412294497643,0.5727279392534753,1.324987413564551
99,2020-06-06,0.8994526512633544,0.594876507155681,1.3146589479962851
100,2020-06-07,0.9256327399034177,0.613754658421098,1.3625680021952358
101,2020-06-08,0.9592413188311171,0.6296227471418165,1.4423564307656087
102,2020-06-09,0.9885427772613196,0.6465794285082661,1.5003026663510568
103,2020-06-10,1.0126455891239066,0.6434995498599132,1.5945331226257284
104,2020-06-11,1.0452543746795908,0.6429968782189199,1.6869751612547659
105,2020-06-12,1.072270549489176,0.6539927858859258,1.770719654610116
106,2020-06-13,1.0959272159746443,0.6793831172714412,1.7816176962615324
107,2020-06-14,1.119788763217335,0.7163463513795156,1.7857747879644217
108,2020-06-15,1.154010416233962,0.7636395549663502,1.776453596152456
109,2020-06-16,1.193269526473991,0.8217828020979394,1.7685724165726706
110,2020-06-17,1.2230208670160596,0.8711045323323361,1.8024762354771808
111,2020-06-18,1.2558756805105178,0.8814296121012495,1.8693246993317971
112,2020-06-19,1.2776042512557795,0.8851662346027928,1.9334821877339032
113,2020-06-20,1.2969918399526619,0.8836233595107595,1.9886305491092116
114,2020-06-21,1.2891883544420195,0.842401805729856,2.03445781815008
115,2020-06-22,1.2752912737294575,0.7987169154345964,2.0397707267607075
116,2020-06-23,1.233699393391554,0.7803610377994976,1.9721356114674802
117,2020-06-24,1.1948567269532,0.75567944570296,1.8903237824820038
118,2020-06-25,1.1275909003748246,0.7133481505190534,1.7770434583448955
119,2020-06-26,1.0329786984804024,0.6664042923677188,1.618453091826282
120,2020-06-27,0.9523951338177261,0.6101130495227799,1.4880725460075181
121,2020-06-28,0.8879232474216563,0.5691782367375772,1.3617103510086221
122,2020-06-29,0.8357413681400157,0.5186610795604794,1.2608668672878962
123,2020-06-30,0.8025326957993202,0.47795013674646014,1.1842688725460664
124,2020-07-01,0.7727044464089624,0.46364867735533205,1.1353084393305943
125,2020-07-02,0.7628737441669765,0.44862328156385295,1.1041033194459657
126,2020-07-03,0.7627676247985273,0.4527553374826739,1.0897354575911136
127,2020-07-04,0.768480032396224,0.46413455302776313,1.0870862900407237
128,2020-07-05,0.7839927012392844,0.49915050101347336,1.0850841634554431
129,2020-07-06,0.8013862438251922,0.5193033420324018,1.1088941757965205
130,2020-07-07,0.8325665164902842,0.5490102390402208,1.1672347370518963
131,2020-07-08,0.872668791994072,0.566394988143049,1.242402581676128
132,2020-07-09,0.9036782470545197,0.5794539094329088,1.3604231607469357
133,2020-07-10,0.9361795218144462,0.593307461447579,1.4459304403824194
134,2020-07-11,0.9700182136726765,0.604285297851812,1.5032556753446789
135,2020-07-12,1.0119856764071034,0.632309813963637,1.5891767069516567
136,2020-07-13,1.0428968222419766,0.671728294879899,1.6446134582800251
137,2020-07-14,1.0725814421495996,0.687585365505976,1.643543252336275
138,2020-07-15,1.1098314739205422,0.7524363547419614,1.6429913085987067
139,2020-07-16,1.1426715998986303,0.805180543393666,1.6723083053105612
140,2020-07-17,1.1759105855175933,0.830328514891893,1.659728263248934
141,2020-07-18,1.2114491773945928,0.836040063083627,1.7361748323710318
142,2020-07-19,1.2324945840603154,0.8471254984874234,1.7820698893435867
143,2020-07-20,1.2595308417327913,0.8631951948658279,1.8550597233063246
144,2020-07-21,1.2700768736230204,0.8574283410085187,1.9107086140730305
145,2020-07-22,1.2795403104354506,0.8839783219402493,1.9233249608097294
146,2020-07-23,1.2871469411422156,0.8824647324592615,1.9023472568877666
147,2020-07-24,1.2931098819975566,0.904916757704631,1.877888121360744
148,2020-07-25,1.2906210832975478,0.9506028979407855,1.8197536951179734
149,2020-07-26,1.2786720235757119,0.9562381418025013,1.7707194556522003
150,2020-07-27,1.269796133446235,0.9629826547026734,1.719670086972874
151,2020-07-28,1.2632130325949311,0.9363606384934492,1.677352498406937
152,2020-07-29,1.2545691234784688,0.9119356645834378,1.6819876139218728
153,2020-07-30,1.2455011527781736,0.8777365410019758,1.7040772827553587
154,2020-07-31,1.2397177982584509,0.8486690685661941,1.7332303626651726
155,2020-08-01,1.2318104503783815,0.8374043992313103,1.7633618341793762
156,2020-08-02,1.229630503639933,0.8295148960391927,1.762857155671754
157,2020-08-03,1.2280030639010338,0.8545713297173033,1.701861129220521
158,2020-08-04,1.23137240038147,0.8911919644242553,1.648980204120089
159,2020-08-05,1.2314387246280196,0.9396809714468715,1.6265383283771757
160,2020-08-06,1.235685348162003,0.9568964047237004,1.6132729883686936
161,2020-08-07,1.2402789987590932,0.9443680258154082,1.629337831444357
162,2020-08-08,1.2409026508658212,0.9095018862820029,1.6629464259001239
163,2020-08-09,1.2445057946931395,0.8808088093615928,1.7158097752365242
164,2020-08-10,1.2457699088486889,0.8592797865902422,1.749990102254561
165,2020-08-11,1.24366105765729,0.8694582155802346,1.7767752205433502
166,2020-08-12,1.2387614866731491,0.8876921913053054,1.7339909233662916
167,2020-08-13,1.2366125088761017,0.9096881931159112,1.6814611660175545
168,2020-08-14,1.2311161932307195,0.9285449614004201,1.6450765229409756
169,2020-08-15,1.2224903984643891,0.9355808328317996,1.6178672195710835
170,2020-08-16,1.2086686560920652,0.9275069537305324,1.6162675589863704
171,2020-08-17,1.193100108743277,0.8969800447553025,1.5994182822014564
172,2020-08-18,1.1839077734092376,0.8496591876935299,1.609627916780644
173,2020-08-19,1.1602868522965963,0.8121226522665277,1.6371012055147052
174,2020-08-20,1.1377273961027627,0.7871279935467903,1.6301201738791995
175,2020-08-21,1.1157607910218807,0.7561900760557843,1.5897713571966612
176,2020-08-22,1.0907530167577337,0.7262858645393453,1.5257368851909647
177,2020-08-23,1.0621113051521351,0.7215415144891298,1.4766107801065789
178,2020-08-24,1.0192115233869488,0.7381343800975341,1.376860895890573
179,2020-08-25,0.991881614079202,0.741192492405769,1.309856972474969
180,2020-08-26,0.9662028660059985,0.7092767816043858,1.253450947563657
181,2020-08-27,0.9481317473708057,0.6710482985206221,1.2073434900351323
182,2020-08-28,0.9285554587635172,0.6537259802971684,1.1844966858386021
183,2020-08-29,0.9156801621773476,0.6255121259620283,1.1906244611262213
184,2020-08-30,0.9031231882547531,0.6067329837601029,1.2054892814339955
185,2020-08-31,0.8999135130005604,0.594068796446562,1.215337324428947
186,2020-09-01,0.9078461548224015,0.6053338633069489,1.2174178163326503
187,2020-09-02,0.9265757972408355,0.6366414066599926,1.217064611315512
188,2020-09-03,0.9468891674099278,0.6735642650706551,1.230521113655818
189,2020-09-04,0.977880000753093,0.7222633607665764,1.2599393305004145
190,2020-09-05,1.0102755914785082,0.7750244018181764,1.3266522878514504
191,2020-09-06,1.0385765019209297,0.8050296985867915,1.4041554533227996
192,2020-09-07,1.0701354851866771,0.8151416062461535,1.464341112132502
193,2020-09-08,1.1041279892578626,0.819215476561812,1.5117911294920905
194,2020-09-09,1.1256068376879087,0.8295974137181542,1.5446921870952515
195,2020-09-10,1.1408336666578205,0.8343746396367594,1.5776969422746894
196,2020-09-11,1.1458868151470347,0.8440841852177001,1.5813977069318343
197,2020-09-12,1.152268208098373,0.8968130535803774,1.5506418865714262
198,2020-09-13,1.1516380142090519,0.9416971335419384,1.5479103037263604
199,2020-09-14,1.1618599667867677,0.9656953871586424,1.5144598304759638
200,2020-09-15,1.1650470905227437,0.9606747429715132,1.5091324274330904
201,2020-09-16,1.1658545692044586,0.9422740950510516,1.4818570723188496
202,2020-09-17,1.162277175318465,0.8946947539168931,1.51829564740384
203,2020-09-18,1.1599129491897182,0.8701862397255582,1.5437644566921838
204,2020-09-19,1.1496230865502208,0.8567687065468695,1.5458825765839832
205,2020-09-20,1.1394520622950988,0.8309795123748038,1.5383413595248718
206,2020-09-21,1.1342771594529508,0.7985557252351237,1.520028708201446
207,2020-09-22,1.1274919416801399,0.7936346319964345,1.4576899531097502
208,2020-09-23,1.1180894134492778,0.8064095293425171,1.3981966875164775
209,2020-09-24,1.1083986667480117,0.8415889793577241,1.3673530234520077
210,2020-09-25,1.1010244374914109,0.839633159549806,1.3533393068832342
211,2020-09-26,1.0957598328210119,0.7979061136052403,1.3635877423275442
212,2020-09-27,1.0886562690755355,0.7743090132643231,1.383126907260845
213,2020-09-28,1.083061152506844,0.7382548785389247,1.4171018967649986
214,2020-09-29,1.0834308807796673,0.7366771681049367,1.4524235247721407
215,2020-09-30,1.0917737233096592,0.7390352599408065,1.4663868232298898
216,2020-10-01,1.11245721385286,0.7960438551511907,1.472603078258242
217,2020-10-02,1.1401098487478665,0.8467289143238929,1.5090139827571958
218,2020-10-03,1.1857435930062787,0.8844591587590978,1.5697169209459076
219,2020-10-04,1.2350398611846507,0.9317174872877849,1.6676619136522368
220,2020-10-05,1.2920175583738671,0.9951391214739965,1.7053764950665433
221,2020-10-06,1.350062888487174,1.0369705105961282,1.7503099595084577
222,2020-10-07,1.3955370336052217,1.0737407348211823,1.8099890424375722
223,2020-10-08,1.4382944604254413,1.0958435440723857,1.851457877557218
224,2020-10-09,1.4671088964156729,1.1264538490967628,1.9180523835627417
225,2020-10-10,1.4955336248591817,1.1667820989305349,1.9715506986001414
226,2020-10-11,1.5130745327889725,1.204090038244954,1.9905383726548451
227,2020-10-12,1.5183989492799048,1.2516838668871701,1.9575425703055063
228,2020-10-13,1.5202196764419313,1.2770233611990482,1.918351898576663
229,2020-10-14,1.5216266064066368,1.302954903909288,1.8693741627630738
230,2020-10-15,1.5180599327241386,1.2976832425401656,1.8712110353745566
231,2020-10-16,1.5146104706784427,1.2804229425817242,1.8615813640045815
232,2020-10-17,1.5122736738627012,1.2495598798780243,1.8619277104565235
233,2020-10-18,1.511072871719957,1.2190400394128589,1.8449013516220045
234,2020-10-19,1.5078519519781808,1.1959695799232883,1.8578191377500468
235,2020-10-20,1.5056315707662213,1.1970295779557398,1.845172580827208
236,2020-10-21,1.5041565122954006,1.1960396347607667,1.843165761906059
237,2020-10-22,1.5037986627909696,1.2199000131284379,1.8219145895695978
238,2020-10-23,1.5040647247548982,1.2482456126369308,1.803047533027941
239,2020-10-24,1.5074496164015843,1.2682980399594628,1.8043041293266684
240,2020-10-25,1.50468516948542,1.2833337609082884,1.815075992618369
241,2020-10-26,1.502070749434351,1.2549141316369614,1.83300826425676
242,2020-10-27,1.4939282814949926,1.214620640633973,1.8433485036067907
243,2020-10-28,1.4790201698113832,1.1655311158260637,1.8524716619026917
244,2020-10-29,1.4586025218540046,1.1036042582925267,1.842530906223794
245,2020-10-30,1.4273011821533874,1.0314110398277274,1.8230279228405089
246,2020-10-31,1.3827839427384445,0.9819875554093482,1.7566110789307423
