date,federalState,schoolVacation,population
2020-05-31,Hamburg,0,1892122
2020-05-31,Hessen,0,6391360
2020-05-31,Mecklenburg-Vorpommern,0,1628378
2020-05-31,Niedersachsen,0,8140242
2020-05-31,Nordrhein-Westfalen,0,18139116
2020-05-31,Rheinland-Pfalz,0,4158150
2020-05-31,Saarland,0,992666
2020-05-31,Sachsen,0,4086152
2020-05-31,Sachsen-Anhalt,5,2186643
2020-05-31,Schleswig-Holstein,0,2953270
2020-05-31,Thüringen,0,2126836
2020-06-07,Baden-Württemberg,5,11280257
2020-06-07,Bayern,5,13369393
2020-06-07,Berlin,0,3755251
2020-06-07,Brandenburg,0,2573135
2020-06-07,Bremen,0,684864
2020-06-07,Hamburg,0,1892122
2020-06-07,Hessen,0,6391360
2020-06-07,Mecklenburg-Vorpommern,0,1628378
2020-06-07,Niedersachsen,0,8140242
2020-06-07,Nordrhein-Westfalen,1,18139116
2020-06-07,Rheinland-Pfalz,0,4158150
2020-06-07,Saarland,0,992666
2020-06-07,Sachsen,0,4086152
2020-06-07,Sachsen-Anhalt,0,2186643
2020-06-07,Schleswig-Holstein,0,2953270
2020-06-07,Thüringen,0,2126836
2020-06-14,Baden-Württemberg,5,11280257
2020-06-14,Bayern,5,13369393
2020-06-14,Berlin,0,3755251
2020-06-14,Brandenburg,0,2573135
2020-06-14,Bremen,0,684864
2020-06-14,Hamburg,0,1892122
2020-06-14,Hessen,0,6391360
2020-06-14,Mecklenburg-Vorpommern,0,1628378
2020-06-14,Niedersachsen,0,8140242
2020-06-14,Nordrhein-Westfalen,0,18139116
2020-06-14,Rheinland-Pfalz,0,4158150
2020-06-14,Saarland,0,992666
2020-06-14,Sachsen,0,4086152
2020-06-14,Sachsen-Anhalt,0,2186643
2020-06-14,Schleswig-Holstein,0,2953270
2020-06-14,Thüringen,0,2126836
2020-06-21,Baden-Württemberg,0,11280257
2020-06-21,Bayern,0,13369393
2020-06-21,Berlin,0,3755251
2020-06-21,Brandenburg,0,2573135
2020-06-21,Bremen,0,684864
2020-06-21,Hamburg,0,1892122
2020-06-21,Hessen,0,6391360
