date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200612;Nordrhein-Westfalen;7.32;-3
20200612;Hamburg;6.97;-8
20200612;Mecklenburg-Vorpommern;8.38;6
20200612;Niedersachsen;7.5600000000000005;-5
20200612;Deutschland;7.29;-7
20200612;Bremen;7.59;-6
20200612;Thüringen;7.930000000000001;0
20200612;Saarland;7.33;-5
20200612;Sachsen-Anhalt;7.890000000000001;2
20200612;Rheinland-Pfalz;7.930000000000001;-4
20200612;Schleswig-Holstein;7.390000000000001;-3
20200619;Baden-Württemberg;7.72;-3
20200619;Hessen;7.59;-6
20200619;Berlin;7.72;-1
20200619;Brandenburg;7.54;2
20200619;Sachsen;7.79;2
20200619;Bayern;7.59;-5
20200619;Nordrhein-Westfalen;7.4;-2
20200619;Hamburg;7.53;0
20200619;Mecklenburg-Vorpommern;8.52;8
20200619;Niedersachsen;7.65;-4
20200619;Deutschland;7.66;-2
20200619;Bremen;7.930000000000001;-1
20200619;Thüringen;7.92;0
20200619;Saarland;7.4;-4
20200619;Sachsen-Anhalt;7.88;2
20200619;Rheinland-Pfalz;8.09;-2
20200619;Schleswig-Holstein;7.8;3
20200626;Baden-Württemberg;8.09;1
20200626;Hessen;8.03;-1
20200626;Berlin;7.8500000000000005;1
20200626;Brandenburg;7.71;4
20200626;Sachsen;8.0;5
20200626;Bayern;8.13;1
20200626;Nordrhein-Westfalen;7.72;2
20200626;Hamburg;7.65;2
20200626;Mecklenburg-Vorpommern;8.52;8
20200626;Niedersachsen;7.95;0
20200626;Deutschland;7.99;2
20200626;Bremen;8.23;2
20200626;Thüringen;8.3;5
20200626;Saarland;7.66;-1
20200626;Sachsen-Anhalt;8.11;5
20200626;Rheinland-Pfalz;8.36;1
20200626;Schleswig-Holstein;7.97;5
20200703;Baden-Württemberg;8.02;0
20200703;Hessen;7.87;-3
20200703;Berlin;7.19;-8
20200703;Brandenburg;7.54;2
20200703;Sachsen;7.84;3
20200703;Bayern;8.02;0
20200703;Nordrhein-Westfalen;7.47;-1
20200703;Hamburg;7.08;-6
20200703;Mecklenburg-Vorpommern;8.35;6
20200703;Niedersachsen;7.73;-3
20200703;Deutschland;7.78;-1
20200703;Bremen;7.65;-5
20200703;Thüringen;8.15;3
20200703;Saarland;7.63;-1
20200703;Sachsen-Anhalt;7.96;3
20200703;Rheinland-Pfalz;8.24;-1
20200703;Schleswig-Holstein;7.5;-1
20200710;Baden-Württemberg;8.03;0
20200710;Hessen;7.65;-5
20200710;Berlin;6.97;-11
20200710;Brandenburg;7.38;-1
20200710;Sachsen;7.68;0
20200710;Bayern;8.05;0
20200710;Nordrhein-Westfalen;7.32;-3
20200710;Hamburg;6.88;-9
20200710;Mecklenburg-Vorpommern;8.05;2
20200710;Niedersachsen;7.6000000000000005;-4
20200710;Deutschland;7.67;-2
20200710;Bremen;7.57;-6
20200710;Thüringen;8.06;2
20200710;Saarland;7.5;-3
20200710;Sachsen-Anhalt;7.84;1
20200710;Rheinland-Pfalz;8.07;-3
20200710;Schleswig-Holstein;7.2700000000000005;-4
20200717;Baden-Württemberg;8.0;0
20200717;Hessen;7.65;-5
20200717;Berlin;7.16;-8
20200717;Brandenburg;7.48;1
20200717;Sachsen;7.8100000000000005;2
20200717;Bayern;8.040000000000001;0
20200717;Nordrhein-Westfalen;7.45;-1
20200717;Hamburg;7.25;-4
20200717;Mecklenburg-Vorpommern;8.32;5
20200717;Niedersachsen;7.79;-2
20200717;Deutschland;7.75;-1
20200717;Bremen;7.92;-2
20200717;Thüringen;8.13;3
20200717;Saarland;7.49;-3
20200717;Sachsen-Anhalt;7.95;2
20200717;Rheinland-Pfalz;8.05;-3
20200717;Schleswig-Holstein;7.57;0
20200724;Baden-Württemberg;8.120000000000001;2
20200724;Hessen;7.7;-5
20200724;Berlin;7.23;-7
20200724;Brandenburg;7.5200000000000005;1
20200724;Sachsen;7.75;1
20200724;Bayern;8.17;2
20200724;Nordrhein-Westfalen;7.49;-1
20200724;Hamburg;7.12;-6
20200724;Mecklenburg-Vorpommern;8.46;7
20200724;Niedersachsen;7.69;-3
20200724;Deutschland;7.78;-1
20200724;Bremen;7.75;-4
20200724;Thüringen;8.03;2
20200724;Saarland;7.48;-3
20200724;Sachsen-Anhalt;7.83;1
20200724;Rheinland-Pfalz;8.120000000000001;-2
20200724;Schleswig-Holstein;7.46;-2
20200731;Baden-Württemberg;8.17;2
20200731;Hessen;7.73;-4
20200731;Berlin;7.29;-7
20200731;Brandenburg;7.54;2
20200731;Sachsen;7.74;1
20200731;Bayern;8.13;1
20200731;Nordrhein-Westfalen;7.5200000000000005;-1
20200731;Hamburg;7.2700000000000005;-4
20200731;Mecklenburg-Vorpommern;8.38;6
20200731;Niedersachsen;7.62;-4
20200731;Deutschland;7.79;-1
20200731;Bremen;7.69;-4
20200731;Thüringen;7.98;1
20200731;Saarland;7.48;-3
20200731;Sachsen-Anhalt;7.83;1
20200731;Rheinland-Pfalz;8.07;-3
20200731;Schleswig-Holstein;7.55;-1
20200807;Baden-Württemberg;8.03;0
20200807;Hessen;7.78;-4
20200807;Berlin;7.5200000000000005;-4
20200807;Brandenburg;7.65;3
20200807;Sachsen;7.73;1
20200807;Bayern;8.0;0
20200807;Nordrhein-Westfalen;7.68;2
20200807;Hamburg;7.63;1
20200807;Mecklenburg-Vorpommern;8.78;11
20200807;Niedersachsen;7.72;-3
20200807;Deutschland;7.8500000000000005;0
20200807;Bremen;7.8500000000000005;-2
20200807;Thüringen;7.98;1
20200807;Saarland;7.5200000000000005;-2
20200807;Sachsen-Anhalt;7.890000000000001;2
20200807;Rheinland-Pfalz;8.120000000000001;-2
20200807;Schleswig-Holstein;7.8;3
20200814;Baden-Württemberg;7.79;-3
20200814;Hessen;7.65;-5
20200814;Berlin;7.5600000000000005;-3
20200814;Brandenburg;7.75;5
20200814;Sachsen;7.65;0
20200814;Bayern;7.890000000000001;-2
20200814;Nordrhein-Westfalen;7.7;2
20200814;Hamburg;7.59;1
20200814;Mecklenburg-Vorpommern;8.540000000000001;8
20200814;Niedersachsen;7.63;-4
20200814;Deutschland;7.7700000000000005;-1
20200814;Bremen;7.71;-4
20200814;Thüringen;7.8100000000000005;-1
20200814;Saarland;7.49;-3
20200814;Sachsen-Anhalt;7.71;-1
20200814;Rheinland-Pfalz;8.01;-3
20200814;Schleswig-Holstein;7.91;4
20200821;Baden-Württemberg;7.82;-2
20200821;Hessen;8.02;-1
20200821;Berlin;7.59;-3
20200821;Brandenburg;7.83;6
20200821;Sachsen;7.69;1
20200821;Bayern;7.91;-1
20200821;Nordrhein-Westfalen;7.9;5
20200821;Hamburg;7.53;0
20200821;Mecklenburg-Vorpommern;8.66;10
20200821;Niedersachsen;7.640000000000001;-4
20200821;Deutschland;7.88;1
20200821;Bremen;7.67;-5
20200821;Thüringen;7.96;1
20200821;Saarland;7.94;3
20200821;Sachsen-Anhalt;7.8100000000000005;1
20200821;Rheinland-Pfalz;8.47;2
20200821;Schleswig-Holstein;7.86;3
20200828;Baden-Württemberg;7.8500000000000005;-2
20200828;Hessen;8.19;1
20200828;Berlin;7.83;0
20200828;Brandenburg;7.930000000000001;7
20200828;Sachsen;7.8500000000000005;3
20200828;Bayern;7.92;-1
20200828;Nordrhein-Westfalen;8.03;6
20200828;Hamburg;7.71;2
20200828;Mecklenburg-Vorpommern;8.64;10
20200828;Niedersachsen;7.88;-1
20200828;Deutschland;8.0;2
20200828;Bremen;8.13;1
20200828;Thüringen;8.06;2
20200828;Saarland;8.09;5
20200828;Sachsen-Anhalt;7.98;3
20200828;Rheinland-Pfalz;8.61;4
20200828;Schleswig-Holstein;7.95;5
20200904;Baden-Württemberg;7.96;0
20200904;Hessen;8.14;1
20200904;Berlin;7.67;-2
20200904;Brandenburg;7.91;7
20200904;Sachsen;8.02;5
20200904;Bayern;7.96;-1
20200904;Nordrhein-Westfalen;7.930000000000001;5
20200904;Hamburg;7.66;2
20200904;Mecklenburg-Vorpommern;8.620000000000001;9
20200904;Niedersachsen;8.120000000000001;2
20200904;Deutschland;8.03;2
20200904;Bremen;8.28;3
20200904;Thüringen;8.34;6
20200904;Saarland;8.06;5
20200904;Sachsen-Anhalt;8.2;6
20200904;Rheinland-Pfalz;8.57;3
20200904;Schleswig-Holstein;7.96;5
20200911;Baden-Württemberg;8.08;1
20200911;Hessen;8.21;2
20200911;Berlin;8.11;4
20200911;Brandenburg;8.09;9
20200911;Sachsen;8.290000000000001;9
20200911;Bayern;8.21;2
20200911;Nordrhein-Westfalen;7.97;5
20200911;Hamburg;7.98;6
20200911;Mecklenburg-Vorpommern;8.77;11
20200911;Niedersachsen;8.3;5
20200911;Deutschland;8.19;4
20200911;Bremen;8.52;6
20200911;Thüringen;8.58;9
20200911;Saarland;8.08;5
20200911;Sachsen-Anhalt;8.42;9
20200911;Rheinland-Pfalz;8.59;4
20200911;Schleswig-Holstein;8.15;7
20200918;Baden-Württemberg;8.32;4
20200918;Hessen;8.21;2
20200918;Berlin;8.45;8
20200918;Brandenburg;8.19;10
20200918;Sachsen;8.48;11
20200918;Bayern;8.290000000000001;3
20200918;Nordrhein-Westfalen;7.91;5
20200918;Hamburg;8.41;12
20200918;Mecklenburg-Vorpommern;8.97;14
20200918;Niedersachsen;8.51;7
20200918;Deutschland;8.3;6
20200918;Bremen;8.88;10
20200918;Thüringen;8.63;9
